COD;RUA;SAL;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;LAT;LONG
350600305000428;CRUZAMENTO DA RUA JORGE SCHNEYDER FILHO COM O PROLONGAMENTO DA RUA LAZARO FERNANDES DE LIMA.;1494.22;;;;;-22.323688400;-49.0191863000
350600305000009;TRILHOS DA FERROBAN COM O VIADUTO DA FALCÃO.;1491.34;;;;;-27.093891850;-48.9205327400
350600305000146;CRUZAMENTO DA RUA CAPITÃO EDUARDO COUTINHO COM A RUA PRESIDENTE KENNEDY.;1489.75;;;;;-22.317553800;-49.0583330000
350600305000084;RUA JUSAKU MATSUMOTO COM A RUA MANOEL F. GRILLO.;1482.57;;;;;-22.310452700;-49.0959294000
350600305000232;ENTRONCAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM A RUA JOÃO VIRGÍNIO DE SOUZA.;1480.20;;;;;-23.213206800;-47.4905442000
350600305000008;PRAÇA DAS BANDEIRAS COM A AVENIDA RODRIGUES ALVES.;1469.90;;;;;-27.093891850;-48.9205327400
350600305000012; RUA SILVEIRA MARTINS COM A RUA DOS ANDRADAS.;1468.67;;;;;-29.679701500;-51.1260514000
350600305000393;ENTRONCAMENTO DA RUA DOS FERROVIÁRIOS COM A RUA DOS MECÂNICOS.;1465.61;;;;;-20.467429300;-55.7835737000
350600305000018; RUA PRIMEIRO DE MAIO COM A RUA SANTA RITA.;1460.73;;;;;-22.807950200;-47.2349406000
350600305000001;RUA MARTIN AFONSO COM A RUA VITAL BRASIL.;1460.31;;;;;-22.384470400;-42.9816974000
350600305000133;CRUZAMENTO DA RUA DOUTOR ARTHUR DE CARVALHO COM A RUA CAPITÃO MÁRIO ROSSI.;1448.63;;;;;-22.254767700;-45.6877546000
350600305000139;CRUZAMENTO DA RUA JOÃO IGNÁCIO SANTINHO COM A RUA JOAQUIM F. MELLO.;1445.21;;;;;-22.305063400;-49.0771414000
350600305000473;ESTAÇAO ECOLÓGICA DE BAURU - CRUZAMENTO DE DIVISA DE SEBASTIÃO ALEIXO DA SILVA COM DIVISAS DE DOUTOR HILDEBRANDO T. DE CARVALHO.;1443.85;;;;;-22.319765000;-49.0092803000
350600305000130;CRUZAMENTO DA RUA JUSAKU MATSUMOTO COM A RUA SILVA JARDIM.;1442.23;;;;;-22.310452700;-49.0959294000
350600305000189;CRUZAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM A DIVISA DA AVENIDA RODRIGUES ALVES.;1438.76;;;;;-23.213206800;-47.4905442000
350600305000097;CRUZAMENTO DA AVENIDA NAÇÕES UNIDAS COM A AVENIDA DOUTOR NUNO DE ASSIS.;1424.75;;;;;-5.106612800;-42.8103603000
350600305000048;RUA HILDEBRANDO DE CARVALHO COM A RUA ISMAEL MARINHO FALCÃO.;1422.06;;;;;-12.161179400;-45.0041883000
